﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2342-6_7_2,"Now that I have read the unedited part, Me know that the great hero's question not only asks about moral norms, but also about the conflict and balance of Martial Arts routines and physical instincts.",บัดนี้เมื่ออ่านส่วนที่ยังมิได้ถูกแก้ไขจนทั่วแล้ว ข้าจึงได้รู้ว่าคำถามของท่านจอมยุทธ์ผู้ยิ่งใหญ่นี้ มิได้ถามเพียงเรื่องศีลธรรมจรรยา แต่ยังถามถึงความขัดแย้งและความสมดุลระหว่างวิชายุทธ์และสัญชาตญาณทางร่างกายด้วย
M2342-6_7_3,"When I find balance, I can incorporate the righteousness in my heart into my Dantian Qi Sea!"
M2342-7_2_1,"Uh, although Gongsun Hui has made up for all the mistakes, I didn't successfully comprehend the martial tomb before, so naturally I can't understand the true meaning in it!"
M2342-7_2_2,"In that case, I have to try again!"
M2342-7_3_1,"Damn it, it's already the supplemented and annotated version of Gongsun Hui, it's already half simpler, can't I still understand it?"
M2342-7_3_2,"If it really doesn't work, forget it... If I don't have the qualifications for Taoism, I just won't learn it and it doesn't matter."
M2342-7_4_1,"This Sword Tomb is different from other Sword Tombs, there are no various profound questions, only the pure confrontation of Martial Arts moves."
M2342-7_4_2,"The true meaning of a great hero is truly unparalleled. Even if it has been modified by Gongsun Hui, one can still learn the usage of eighteen types of weapons.",เจตนารมณ์แท้จริงของท่านจอมยุทธ์ผู้ยิ่งใหญ่นั้นช่างวิจิตรไร้ที่เปรียบ แม้จะถูกกงซุนฮุ่ยแก้ไขไปมาก ก็ยังสามารถเรียนรู้วิธีใช้ศาสตราทั้งสิบแปดได้
M2342-7_4_3,But compared to the part he modified... it's incomparable! The true meaning of this martial tomb can make an ordinary move possess the power of a unique martial art!
M2342-7_5_1,"No, the true teachings of the great hero are here, how could I give up?",มิได้! เคล็ดวิชาแท้จริงของท่านจอมยุทธ์ผู้ยิ่งใหญ่อยู่ตรงนี้ ข้าจะยอมละทิ้งได้อย่างไร?
M2342-7_6_1,"This Sword Tomb is different from other Sword Tombs, there are no various profound questions, only the pure confrontation of Martial Arts moves."
M2342-7_6_2,"The true meaning of a great hero is truly unparalleled. Even if it has been modified by Gongsun Hui, one can still learn the usage of eighteen types of weapons.",เจตนารมณ์แท้จริงของท่านจอมยุทธ์ผู้ยิ่งใหญ่นั้นช่างวิจิตรไร้ที่เปรียบ แม้จะถูกกงซุนฮุ่ยแก้ไขไปมาก ก็ยังสามารถเรียนรู้วิธีใช้ศาสตราทั้งสิบแปดได้
M2342-7_6_3,But compared to the part he modified... it's incomparable! The true meaning of this martial tomb can make an ordinary move possess the power of a unique martial art!
M2342-8_0_1,Am I ready to go in and face Gongsun Hui?
M2342-8_op1_1,Go in!
M2342-8_op1_2,Not yet...
M2342-8_2_1,You came to the door... very good...
M2342-8_2_2,"Gongsun Hui! You have avenged your great revenge, why do you still want to be this Jianghu Conqueror?"
M2342-8_2_3,Is it because this martial arts world still owes your family? Can't you let go of your hatred?
M2342-8_2_4,"Hatred? No, I have no hatred, no pain, no suffering."
M2342-8_2_5,"No joy, no love, no attachment, no enlightenment."
M2342-8_2_6,"I don't know why I became Jianghu Conqueror, a voice in my heart told me to do it, so I did it."
M2342-8_2_7,It's simply impossible to communicate!
M2342-8_2_8,"That stupid person probably forgot to tell you... this place is the Martial Tomb, two people named Gongsun guard here, the Martial Tomb is in line with the ""Heart-Watching Scripture"", this place... is my home court!"
M2342-8_2a_1,"In this battle, everything in Me's heart is Me's arm aid!"
M2342-8_2a_2,"Everything in your heart, can you even pull out your inner demon to help you?"
M2342-8_2a_3,"The inner demons are all Me's defeated generals, Me's arm aid, naturally they are more valuable!"
M2342-8_2b_1,The old Taoist's mysterious inner strength... is extremely interesting! It even made Me form a Protection Qi!
M2342-8_2b_2,Looking at his breath... Could it be that he has mastered Zhong Yangzi's <color=#097a76>Origin Qi</color> and <color=#097a76>Readied</color>?
M2342-8_2c_1,"The bald donkey's Vajra protection... So this is what it feels like, it's not in vain that Me have spent many years laying the foundation of Buddhism. Wonderful! Wonderful!"
M2342-8_2c_2,"So that's it... Gongsun Hui once studied Buddhism at Shifa Temple, it's no wonder he was able to master Hui Yuan's <color=#097a76>Vajra protection</color>!"
M2342-8_2d_1,"Hahaha! So that old dog is so afraid of death, he even learned this life-saving Reversal technique!"
M2342-8_2d_2,"This is... Cai Yuanchang's Reversal technique, a strange skill that can protect the heart and revive instantly at the brink of death! This is trouble..."
M2342-8_2e_1,"Jian Chi is indeed the Peak of Jianghu's sword! This first sword that goes straight forward, I have fully understood!"
M2342-8_2e_2,It seems that he has fully mastered Jian Chi's <color=#097a76>Life or Death</color> and <color=#097a76>Sword Qi Explosion</color>... I must not take this first move lightly!
M2342-8_2f_1,Gongsun Hui learned the signature skill of the Eight Saints by self-harm... I must be very careful in this fight!
M2342-8_3_1,How is it possible? I am here... it is impossible to lose... just...
M2342-8_3_2,"These are... those are the books you took from the sect, and you actually threw them here..."
M2342-8_3_3,How do you still have the strength to get up?
M2342-8_3_4,"Hmph... Don't forget, this is my home court! I won't lose!"
M2342-8_3_5,"Is it you? Impossible... I have already, killed you... that's right! This... fool!"
M2342-8_4_1,Too strong...
M2342-8_4_2,Hahahahaha! You are nothing more than that!
M2342-8_4_3,I will give you a quick death!
M2342-8_4_4,"Impossible... I have already, killed you... that's right!"
M2342-8_4_5,What's going on?
M2342-8_5_1,"After Gongsun Hui disappeared, a rolled-up book suddenly appeared in your hand."
M2342-8_5_2,"What is this book... ""Observing Heart Scripture""?"
M2342-8_5_3,"This book, this book has a pulse! It's agitated! It's struggling!"
M2342-8_5_4,I have to... squeeze it hard!
M2342-8_5_5,"No, its power is... breaking free from... my hand!"
M2342-8_5_6,I... will help you...
M2342-8_5_7,"The young Gongsun Hui and you both firmly grasp the rolled-up ""Observing Heart Scripture"", constantly applying force."
M2342-8_5_8,"""Observing Heart Scripture"" struggles violently, its pulse crazily throbbing."
M2342-8_5_9,"In the last moment, you clearly feel... this book has lost its strength."
M2342-8_5_10,"Its binding thread collapses, the book cover and pages fall one by one, dissipating completely."
M2342-8_5_11a,"(Eyes bulging, face purple and blue)"
M2342-8_5_11,Uh... uh... uh...
M2342-8_5_12,I... killed... the great villain...
M2342-8_5_13,I am... a hero...
M2342-8_5_14,"As the young Gongsun Hui disappears, you gradually emerge from the illusion and return to the martial tomb."
M2342-8_5_15,"In front of you is Gongsun Hui, who has suffocated to death.\nYour hand is tightly around his throat. His hand is tightly holding your hand.\nTogether, you have strangled the great disaster that threatened the entire martial arts world."
M2342-8_5_16,"Perhaps a long time later, you will remember this young man.\nIt might be on a boat with a wide river and low clouds, or in a forest at sunset,\nIt might be under the eaves where the rain is dripping, or in the mirror under the red candle curtain.\nIt might also be in front of his soon-to-be-buried grave."
M2342-8_5_17,"You will ceremonially stretch out your hands, hold your own throat, and keep applying force,\nYou can't breathe a little, and you immediately let go.\nYou will laugh at yourself for being too weird, and return to the reality in front of you,\nOr bury the last pile of soil, completely burying a boy who has no control over his life."
M2342-8_5a_1,"That's about it, anyway... probably... just like that. Anyway, Gongsun Hui is dead, and the books he stole, I brought them back."
M2342-8_5a_2,"Hero {PlayerName} seems unwilling to speak clearly, but since Gongsun Hui is dead and the stolen goods have been recovered, this case is closed."
